complex_name,aptamer_name,target,iptm,ptm,ranking_score,kd_nm
e2f-e1_e2f_transcription_factor,E2F-E1,E2F transcription factor,0.81,0.56,0.9,2.0
40t_vascular_endothelial_growth_factor_vegf,40t,Vascular Endothelial Growth Factor (VEGF),0.43,0.27,0.55,20.0
12t_vascular_endothelial_growth_factor_vegf,12t,Vascular Endothelial Growth Factor (VEGF),0.29,0.25,0.44,1.1
j6f1_tobramycin,J6f1,Tobramycin,0.28,0.29,-99.72,5.15
100t_vascular_endothelial_growth_factor_vegf,100t,Vascular Endothelial Growth Factor (VEGF),0.23,0.25,-99.76,0.42
126t_vascular_endothelial_growth_factor_vegf,126t,Vascular Endothelial Growth Factor (VEGF),0.22,0.25,0.43,1.4
44t_vascular_endothelial_growth_factor_vegf,44t,Vascular Endothelial Growth Factor (VEGF),0.2,0.18,-99.8,0.48
c1351_g-protein-coupled_receptor_kinase_2_grk2,C13.51,G-protein-coupled receptor kinase 2 (GRK2),0.15,0.19,0.19,101.2
n20_n-glycolylneuraminic_acid_neu5gc,N20,N-glycolylneuraminic acid (Neu5Gc),0.15,0.17,-99.84,73.3
100_vascular_endothelial_growth_factor_vegf,100,Vascular Endothelial Growth Factor (VEGF),0.15,0.15,-99.85,0.2
84t_vascular_endothelial_growth_factor_vegf,84t,Vascular Endothelial Growth Factor (VEGF),0.14,0.23,0.35,1.8
c13_g-protein-coupled_receptor_kinase_2_grk2,C13,G-protein-coupled receptor kinase 2 (GRK2),0.13,0.19,0.2,78.2
arc224_vascular_endothelial_growth_factor_vegf,ARC224,Vascular endothelial growth factor (VEGF),0.13,0.14,-99.85,3.9
n14_n-glycolylneuraminic_acid_neu5gc,N14,N-glycolylneuraminic acid (Neu5Gc),0.11,0.17,-99.88,6.13
d1_digoxin,D1,Digoxin,0.1,0.18,-99.89,0.05
x1_tobramycin,X1,Tobramycin,0.1,0.45,0.17,3.0
ylac5_lactoferrin,Ylac5,Lactoferrin,0.1,0.34,0.16,4.7
j6_tobramycin,J6,Tobramycin,0.1,0.43,0.16,2.0
s2_prostate-specific_antigen_psa,S2,Prostate-specific antigen (PSA),0.1,0.23,0.28,6.3
adr7_monocyte_chemoattractant_protein1_mcp1,ADR7,Monocyte chemoattractant protein‐1 (MCP‐1),0.09,0.14,-99.73,0.18
ylac4_lactoferrin,Ylac4,Lactoferrin,0.09,0.33,0.17,4.0
r3_prostate-specific_antigen_psa,R3,Prostate-specific antigen (PSA),0.09,0.29,0.3,8.7
ylac6_lactoferrin,Ylac6,Lactoferrin,0.09,0.3,0.16,1.9
w13_clone_8_tobramycin,W13 (clone 8),Tobramycin,0.09,0.43,0.16,4.3
ylac8_lactoferrin,Ylac8,Lactoferrin,0.09,0.33,0.16,1.0
dopa2_dopamine,dopa2,Dopamine,0.09,0.18,0.25,2.8
ylac1_lactoferrin,Ylac1,Lactoferrin,0.09,0.21,0.3,2.2
ylac9_lactoferrin,Ylac9,Lactoferrin,0.09,0.33,0.16,2.6
adr22_monocyte_chemoattractant_protein1_mcp1,ADR22,Monocyte chemoattractant protein‐1 (MCP‐1),0.08,0.39,0.33,0.37
d-r16c_d-arginine,D-R16c,D-arginine,0.08,0.19,0.12,135000.0
ap244_alpha-fetoprotein_afp,AP244,Alpha-fetoprotein (AFP),0.08,0.21,0.16,4800.0
dp3_neuropeptide_y_npy,DP3,Neuropeptide Y (NPY),0.08,0.29,0.33,370.0
truncated_d1_digoxin,Truncated D1,Digoxin,0.07,0.32,0.18,8.2
a1_beta-site_amyloid_precursor_protein_clea,A1,Beta-Site amyloid precursor protein cleaving enzyme 1 (BACE1),0.07,0.15,0.26,68.5655
a4_beta-site_amyloid_precursor_protein_clea,A4,Beta-Site amyloid precursor protein cleaving enzyme 1 (BACE1),0.07,0.15,0.34,15.3497
arc245_vascular_endothelial_growth_factor_vegf,ARC245,Vascular endothelial growth factor (VEGF),0.07,0.2,0.27,2.1
clone_5_bovine_factor_ix,clone 5,Bovine factor IX,0.07,0.15,0.15,10.0
truncated_d2_digoxin,Truncated D2,Digoxin,0.07,0.35,0.21,44.0
iv-33_streptavidin,IV-33,Streptavidin,0.06,0.14,-99.92,59.0
n32_n-glycolylneuraminic_acid_neu5gc,N32,N-glycolylneuraminic acid (Neu5Gc),0.06,0.21,0.25,6.49
apt-_23_ethanolamine,Apt- 2.3,Ethanolamine,0.06,0.22,0.21,17.0
apt-_91_ethanolamine,Apt- 9.1,Ethanolamine,0.06,0.22,0.22,19.0
apt-_94_ethanolamine,Apt- 9.4,Ethanolamine,0.06,0.21,0.18,10.0
n8_n-glycolylneuraminic_acid_neu5gc,N8,N-glycolylneuraminic acid (Neu5Gc),0.06,0.2,0.21,6.68
apt-_143_ethanolamine,Apt- 14.3,Ethanolamine,0.06,0.21,0.19,6.0
f3_saxitoxin_stx,F3,Saxitoxin (STX),0.06,0.15,0.18,96.37
apt-_114_ethanolamine,Apt- 11.4,Ethanolamine,0.06,0.21,0.19,9.0
cd40apt1-dimer_cd40_agonist_aptamer_cd40_receptor,CD40Apt1-dimer (CD40 agonist aptamer),CD40 receptor,0.06,0.26,0.27,10.0
apt-_96_ethanolamine,Apt- 9.6,Ethanolamine,0.06,0.22,0.22,15.0
n17_n-glycolylneuraminic_acid_neu5gc,N17,N-glycolylneuraminic acid (Neu5Gc),0.06,0.21,0.21,4.58
12_vascular_endothelial_growth_factor_vegf,12,Vascular Endothelial Growth Factor (VEGF),0.06,0.17,0.27,0.48
84_vascular_endothelial_growth_factor_vegf,84,Vascular Endothelial Growth Factor (VEGF),0.05,0.19,0.27,0.82
20t_platelet-derived_growth_factor_pdgf-bb,20t,Platelet-derived growth factor (PDGF)-BB,0.05,0.19,0.42,0.127
cd40apt1_cd40_receptor,CD40Apt1,CD40 receptor,0.05,0.23,0.31,20.0
q8_fluoroquinolones,Q8,Fluoroquinolones,0.05,0.23,0.16,0.2
z100_zearalenone_zen,Z100,Zearalenone (ZEN),0.05,0.22,0.18,15.2
40_vascular_endothelial_growth_factor_vegf,40,Vascular Endothelial Growth Factor (VEGF),0.05,0.19,0.28,0.19
q2_fluoroquinolones,Q2,Fluoroquinolones,0.05,0.22,0.13,0.11
ap-1_b-lymphocyte_antigen_cd20,AP-1,B-lymphocyte antigen (CD20),0.05,0.27,0.36,96.91
psa-1_prostate-specific_antigen_psa,PSA-1,Prostate-specific antigen (PSA),0.05,0.19,0.35,177.0
41t_platelet-derived_growth_factor_pdgf-bb,41t,Platelet-derived growth factor (PDGF)-BB,0.05,0.17,0.46,0.129
q1_fluoroquinolones,Q1,Fluoroquinolones,0.05,0.22,0.14,56.9
ii-31_streptavidin,II-31,Streptavidin,0.04,0.18,0.31,56.7
36t_platelet-derived_growth_factor_pdgf-bb,36t,Platelet-derived growth factor (PDGF)-BB,0.04,0.2,0.43,0.093
aptamer_32_34_streptavidin,"Aptamer 32, 34",Streptavidin,0.04,0.2,0.3,69.277
i-26_streptavidin,I-26,Streptavidin,0.04,0.16,0.35,85.2
aptamer_29_streptavidin,Aptamer 29,Streptavidin,0.04,0.2,0.3,94.228
iii-30_streptavidin,III-30,Streptavidin,0.04,0.18,0.36,65.5
aptamer_30_streptavidin,Aptamer 30,Streptavidin,0.04,0.19,0.31,104.265
blg14_beta-lactoglobulin_a,BLG14,Beta-lactoglobulin A,0.04,0.24,0.21,82.0
blg14_beta-lactoglobulin_b,BLG14,Beta-lactoglobulin B,0.04,0.21,0.34,80.0
e3_aptamer_prostate_cancer_cell_line_pc-3,E3 aptamer,Prostate cancer cell line PC-3,0.04,0.19,0.42,146.0
aptctla-4_cytotoxic_t_lymphocyte_antigen-4_ctla-4,aptCTLA-4,Cytotoxic T lymphocyte antigen-4 (CTLA-4),0.04,0.31,0.36,11.84
g-ap49_gremlin-1,G-ap49,Gremlin-1,0.04,0.12,0.51,2.6
gr-3_glucagon_receptor_gcgr,GR-3,Glucagon receptor (GCGR),0.04,0.16,0.3,52.7
44_vascular_endothelial_growth_factor_vegf,44,Vascular Endothelial Growth Factor (VEGF),0.04,0.18,0.28,1.7
126_vascular_endothelial_growth_factor_vegf,126,Vascular Endothelial Growth Factor (VEGF),0.04,0.16,0.37,0.14
apt_3_egg_white_lysozyme,Apt 3,Egg white lysozyme,0.03,0.14,0.25,47.1
apt_1_egg_white_lysozyme,Apt 1,Egg white lysozyme,0.03,0.19,0.46,2.8
apt_8_egg_white_lysozyme,Apt 8,Egg white lysozyme,0.03,0.14,0.49,52.1
