complex_name,aptamer_name,target,affinity_pred_value,affinity_probability_binary,iptm,ptm,kd_nm
10000607_637_clone_5_Bovine_factor_IX,clone 5,Bovine factor IX,-1.6982817649841309,0.1287224143743515,0.2025517076253891,0.5658000707626343,10.0
10000961_1000_N20_N-glycolylneuraminic_acid_Neu5Gc,N20,N-glycolylneuraminic acid (Neu5Gc),-1.5846290588378906,0.3221736550331116,0.18655040860176086,0.5965143442153931,73.3
10000098_101_X1_Tobramycin,X1,Tobramycin,-1.5819307565689087,0.27278581261634827,0.21919144690036774,0.8397623300552368,3.0
10000958_997_N14_N-glycolylneuraminic_acid_Neu5Gc,N14,N-glycolylneuraminic acid (Neu5Gc),-1.5303250551223755,0.24850305914878845,0.13800333440303802,0.6375402808189392,6.13
10000097_100_W13_clone_8_Tobramycin,W13 (clone 8),Tobramycin,-1.5171177387237549,0.2431620955467224,0.4945719540119171,0.8692686557769775,4.3
10000957_996_N8_N-glycolylneuraminic_acid_Neu5Gc,N8,N-glycolylneuraminic acid (Neu5Gc),-1.4862971305847168,0.17797662317752838,0.1576858013868332,0.6154274344444275,6.68
10000960_999_N32_N-glycolylneuraminic_acid_Neu5Gc,N32,N-glycolylneuraminic acid (Neu5Gc),-1.244268536567688,0.2838132977485657,0.1447729468345642,0.6037090420722961,6.49
10000083_86_84_Vascular_Endothelial_Growth_Factor_VEGF,84,Vascular Endothelial Growth Factor (VEGF),-1.1629775762557983,0.17011712491512299,0.2824927866458893,0.408490926027298,0.82
10000817_851_Apt_8_Egg_white_lysozyme,Apt 8,Egg white lysozyme,-1.1298563480377197,0.17482370138168335,0.09853728115558624,0.6069915890693665,52.1
10000574_601_ARC245_Vascular_endothelial_growth_factor_VEGF,ARC245,Vascular endothelial growth factor (VEGF),-0.9995909929275513,0.2243475466966629,0.2684181332588196,0.4396206736564636,2.1
10000158_171_dopa2_Dopamine,dopa2,Dopamine,-0.9549485445022583,0.20565876364707947,0.20587466657161713,0.7416664958000183,2.8
10000546_573_Apt-_91_Ethanolamine,Apt- 9.1,Ethanolamine,-0.9527698159217834,0.5173428654670715,0.43417972326278687,0.7878104448318481,19.0
10000544_571_Apt-_96_Ethanolamine,Apt- 9.6,Ethanolamine,-0.9062878489494324,0.4029477536678314,0.5328671336174011,0.8142418265342712,15.0
10000959_998_N17_N-glycolylneuraminic_acid_Neu5Gc,N17,N-glycolylneuraminic acid (Neu5Gc),-0.8725837469100952,0.2923722267150879,0.13751520216464996,0.5883103609085083,4.58
10000542_569_Apt-_114_Ethanolamine,Apt- 11.4,Ethanolamine,-0.8384249806404114,0.3495579957962036,0.3036651313304901,0.7549622058868408,9.0
10000541_568_Apt-_143_Ethanolamine,Apt- 14.3,Ethanolamine,-0.807279109954834,0.5627091526985168,0.327728807926178,0.773822546005249,6.0
10000545_572_Apt-_94_Ethanolamine,Apt- 9.4,Ethanolamine,-0.7886526584625244,0.36553728580474854,0.3120727241039276,0.7629751563072205,10.0
10000815_849_Apt_1_Egg_white_lysozyme,Apt 1,Egg white lysozyme,-0.773344874382019,0.10866020619869232,0.2009345144033432,0.6308773756027222,2.8
10000099_102_J6_Tobramycin,J6,Tobramycin,-0.7399986982345581,0.1925993263721466,0.3103228509426117,0.8511669635772705,2.0
10000816_850_Apt_3_Egg_white_lysozyme,Apt 3,Egg white lysozyme,-0.7359237670898438,0.11812666803598404,0.24992817640304565,0.6449253559112549,47.1
10001055_1096_Q1_Fluoroquinolones,Q1,Fluoroquinolones,-0.6620570421218872,0.3261229991912842,0.1526235193014145,0.6797807812690735,56.9
10000084_87_126_Vascular_Endothelial_Growth_Factor_VEGF,126,Vascular Endothelial Growth Factor (VEGF),-0.6360331773757935,0.2544203996658325,0.23688170313835144,0.3698977530002594,0.14
10000543_570_Apt-_23_Ethanolamine,Apt- 2.3,Ethanolamine,-0.609960675239563,0.3014489412307739,0.19675849378108978,0.7416626811027527,17.0
10000358_378_DP3_Neuropeptide_Y_NPY,DP3,Neuropeptide Y (NPY),-0.6042282581329346,0.19909441471099854,0.17793478071689606,0.33388081192970276,370.0
10000768_800_Aptamer_32_34_Streptavidin,"Aptamer 32, 34",Streptavidin,-0.60395348072052,0.156330868601799,0.11623774468898773,0.5990763306617737,69.277
10001185_1227_GR-3_Glucagon_receptor_GCGR,GR-3,Glucagon receptor (GCGR),-0.5783025026321411,0.2842678129673004,0.12151283770799637,0.27418050169944763,52.7
10000878_915_D1_Digoxin,D1,Digoxin,-0.5051131844520569,0.17076943814754486,0.18504618108272552,0.8157416582107544,0.05
10000770_802_Aptamer_30_Streptavidin,Aptamer 30,Streptavidin,-0.4784834384918213,0.20440323650836945,0.24062031507492065,0.6493476033210754,104.265
10001121_1162_CD40Apt1_CD40_receptor,CD40Apt1,CD40 receptor,-0.4706929326057434,0.2815987169742584,0.3262841999530792,0.6202368140220642,20.0
10001056_1097_Q2_Fluoroquinolones,Q2,Fluoroquinolones,-0.4574304223060608,0.2712559700012207,0.09368859976530075,0.6730133891105652,0.11
10000073_76_100_Vascular_Endothelial_Growth_Factor_VEGF,100,Vascular Endothelial Growth Factor (VEGF),-0.43090856075286865,0.28021517395973206,0.19150680303573608,0.3532702326774597,0.2
10000081_84_12_Vascular_Endothelial_Growth_Factor_VEGF,12,Vascular Endothelial Growth Factor (VEGF),-0.39630967378616333,0.22645005583763123,0.29255878925323486,0.3826567530632019,0.48
10000082_85_40_Vascular_Endothelial_Growth_Factor_VEGF,40,Vascular Endothelial Growth Factor (VEGF),-0.342128723859787,0.22874589264392853,0.12380390614271164,0.34778228402137756,0.19
10001226_1268_E3_aptamer_Prostate_cancer_cell_line_PC-3,E3 aptamer,Prostate cancer cell line PC-3,-0.3149811029434204,0.23029130697250366,0.14034739136695862,0.427146315574646,146.0
10000579_606_III-30_Streptavidin,III-30,Streptavidin,-0.29030412435531616,0.14336033165454865,0.16631817817687988,0.6243599057197571,65.5
10000904_942_S2_Prostate-specific_antigen_PSA,S2,Prostate-specific antigen (PSA),-0.26783937215805054,0.23058278858661652,0.6946911215782166,0.6155323386192322,6.3
10000769_801_Aptamer_29_Streptavidin,Aptamer 29,Streptavidin,-0.2550162672996521,0.15976528823375702,0.35217541456222534,0.6529979109764099,94.228
10001064_1105_AP244_Alpha-fetoprotein_AFP,AP244,Alpha-fetoprotein (AFP),-0.2028592824935913,0.2395601123571396,0.15660442411899567,0.7478500604629517,4800.0
10000080_83_44_Vascular_Endothelial_Growth_Factor_VEGF,44,Vascular Endothelial Growth Factor (VEGF),-0.1785932183265686,0.2498428374528885,0.24553053081035614,0.37973248958587646,1.7
10000901_939_F3_Saxitoxin_STX,F3,Saxitoxin (STX),-0.14428669214248657,0.19733956456184387,0.17457294464111328,0.5889222621917725,96.37
10000903_941_R3_Prostate-specific_antigen_PSA,R3,Prostate-specific antigen (PSA),-0.03995192050933838,0.1845812350511551,0.6308730840682983,0.5917448997497559,8.7
10000343_363_ADR22_Monocyte_chemoattractant_protein1_MCP1,ADR22,Monocyte chemoattractant protein‐1 (MCP‐1),-0.01313009113073349,0.38913583755493164,0.45139971375465393,0.6189238429069519,0.37
10000342_362_ADR7_Monocyte_chemoattractant_protein1_MCP1,ADR7,Monocyte chemoattractant protein‐1 (MCP‐1),0.03801153600215912,0.21945612132549286,0.5515502095222473,0.6756988167762756,0.18
10000580_607_IV-33_Streptavidin,IV-33,Streptavidin,0.16699343919754028,0.21265476942062378,0.5004456043243408,0.6567028760910034,59.0
10001057_1098_Q8_Fluoroquinolones,Q8,Fluoroquinolones,0.18245697021484375,0.298721045255661,0.08851021528244019,0.6739591956138611,0.2
10000113_119_20t_Platelet-derived_growth_factor_PDGF-BB,20t,Platelet-derived growth factor (PDGF)-BB,0.2260478138923645,0.21676385402679443,0.22869059443473816,0.3862299621105194,0.127
10001090_1131_A1_Beta-Site_amyloid_precursor_protein_clea,A1,Beta-Site amyloid precursor protein cleaving enzyme 1 (BACE1),0.31499573588371277,0.15360191464424133,0.17925237119197845,0.6271378993988037,68.5655
10001251_1293_AP-1_B-lymphocyte_antigen_CD20,AP-1,B-lymphocyte antigen (CD20),0.3406912684440613,0.27435237169265747,0.11445391178131104,0.4380822479724884,96.91
10000116_126_41t_Platelet-derived_growth_factor_PDGF-BB,41t,Platelet-derived growth factor (PDGF)-BB,0.34690403938293457,0.21113762259483337,0.2035050243139267,0.4267527163028717,0.129
10001145_1187_BLG14_Beta-lactoglobulin_B,BLG14,Beta-lactoglobulin B,0.4828208386898041,0.27600952982902527,0.2512222230434418,0.6630173325538635,80.0
10001303_1345_Ylac9_Lactoferrin,Ylac9,Lactoferrin,0.5128470659255981,0.09428712725639343,0.5406841039657593,0.7973165512084961,2.6
10000700_730_C13_G-protein-coupled_receptor_kinase_2_GRK2,C13,G-protein-coupled receptor kinase 2 (GRK2),0.5719681978225708,0.25602638721466064,0.38720592856407166,0.8406102061271667,78.2
10001145_1186_BLG14_Beta-lactoglobulin_A,BLG14,Beta-lactoglobulin A,0.5832893252372742,0.2629987597465515,0.11586318165063858,0.5795503258705139,82.0
